Year,World GDP (current US$)
1960,1.3645E+12
1961,1.43932E+12
1962,1.54284E+12
1963,1.66498E+12
1964,1.82778E+12
1965,1.99024E+12
1966,2.15464E+12
1967,2.29387E+12
1968,2.47901E+12
1969,2.73553E+12
1970,3.00156E+12
1971,3.31606E+12
1972,3.83268E+12
1973,4.66249E+12
1974,5.35893E+12
1975,5.99067E+12
1976,6.50828E+12
1977,7.35679E+12
1978,8.70085E+12
1979,1.01134E+13
1980,1.14192E+13
1981,1.17965E+13
1982,1.16481E+13
1983,1.19722E+13
1984,1.2446E+13
1985,1.3024E+13
1986,1.53517E+13
1987,1.74851E+13
1988,1.95475E+13
1989,2.03241E+13
1990,2.28226E+13
1991,2.38236E+13
1992,2.5468E+13
1993,2.59594E+13
1994,2.79389E+13
1995,3.11406E+13
1996,3.18577E+13
1997,3.17523E+13
1998,3.1697E+13
1999,3.2731E+13
2000,3.38394E+13
2001,3.3627E+13
2002,3.49177E+13
2003,3.91521E+13
2004,4.41162E+13
2005,4.77603E+13
2006,5.17498E+13
2007,5.83149E+13
2008,6.40723E+13
2009,6.07183E+13
2010,6.65142E+13
2011,7.39578E+13
2012,7.5604E+13
2013,7.77514E+13
2014,7.98944E+13
2015,7.53597E+13
2016,7.6588E+13
2017,8.1551E+13
2018,8.66869E+13
2019,8.79456E+13
2020,8.55777E+13
2021,9.7527E+13
2022,1.01225E+14
2023,1.05435E+14
